,grid_id,grid_lon,grid_lat,accident_count,lon_center,lat_center,grid_lon_size,grid_lat_size,grid_area,accident_density,dist_to_intersection,log_dist_to_intersection,dist_to_intersection_squared,is_near_intersection_50m,is_near_intersection_100m,kde_density,density_ratio,log_kde_density,density_above_q25,density_above_q50,density_above_q75,density_above_q90,coverage_ratio,coverage_level,coverage_ratio_raw,shape_symmetry,shape_complexity,peak_hour,time_width,rush_hour_ratio,weekend_ratio,dominant_season,seasonality_index
0,55_39,55,39,330,-122.42262521763692,37.772162522282265,0.0018018018018040038,0.001710235751446021,37967.233682148064,8691.705136135946,0.0002280386362554717,0.00022801263939777595,5.200161962525533e-08,1,1,0.8620172673051695,3.1739810672468867,0.6216604523377462,1,1,1,1,0.9992307466462588,极高,1.0,0.4927730006107047,0.8470855412566237,8,9,0.3787878787878788,0.22727272727272727,Summer,1.2242424242424241
1,68_49,68,49,280,-122.4028053978171,37.788409761921024,0.0018018018018040038,0.002280314335266098,50622.97824296924,5531.085086620476,0.0003237885025456095,0.0003237360943608924,1.0483899438072816e-07,1,1,0.7122322513561683,2.6224668194341483,0.5377979293573343,1,1,1,1,0.9977203033278763,极高,1.0,0.5152556043719172,0.7234611953612846,9,9,0.35714285714285715,0.18571428571428572,Fall,1.1571428571428573
2,65_46,65,46,234,-122.4082108032225,37.78356409395859,0.0018018018018040038,0.001710235751446021,37967.233682148064,6163.209096532762,0.00033838391668696325,0.00033832667776155083,1.1450367507240969e-07,1,1,0.9043799248550903,3.3299620181181546,0.6441564568287113,1,1,1,1,0.993806443285108,极高,1.0,0.5226800373488037,0.7908217716115261,18,8,0.39316239316239315,0.2948717948717949,Spring,1.1623931623931625
3,55_49,55,49,209,-122.42262521763692,37.788409761921024,0.0018018018018040038,0.002280314335266098,50622.97824296924,4128.559939655998,0.00047741790162955026,0.00047730397396244834,2.2792785279636293e-07,1,1,0.769549483077845,2.833511093385102,0.5707249848530982,1,1,1,1,0.9893378705194869,极高,1.0,0.7336354715023783,0.44205495818399043,16,8,0.3492822966507177,0.28708133971291866,Fall,1.1100478468899522
4,66_43,66,43,206,-122.40640900142071,37.77928850457997,0.001801801801789793,0.002280314335266098,50622.97824256998,4069.298313760016,0.00014456216377142908,0.00014455171566875335,2.0898219194277482e-08,1,1,0.8566869651808936,3.154354687745178,0.6187936979837948,1,1,1,1,0.9886197340260774,极高,1.0,0.5952897885291494,0.8278787878787879,17,10,0.3446601941747573,0.2621359223300971,Summer,1.1262135922330097
5,65_35,65,35,205,-122.4082108032225,37.76560661856838,0.0018018018018040038,0.002280314335266098,50622.97824296924,4049.544438418563,0.0004241990656606995,0.00042410911867309884,1.7994484730741043e-07,1,1,0.6054900353057825,2.229437833043832,0.4734290279294676,1,1,1,0,0.9883697629786953,极高,1.0,0.4592320261437909,0.8148599269183922,16,8,0.4,0.18048780487804877,Summer,1.0926829268292684
6,57_42,57,42,192,-122.41947206448376,37.7770081902447,0.0009009009009020019,0.002280314335266098,25311.48912148462,7585.488118793795,0.000179819783029611,0.00017980361739033205,3.233515436881638e-08,1,1,0.9687489179474426,3.5669711513940703,0.6773982739776576,1,1,1,1,0.984573814159805,极高,1.0,0.6509781775557912,0.5838751625487646,12,10,0.2916666666666667,0.2708333333333333,Summer,1.1875
7,60_42,60,42,190,-122.4154180104297,37.7770081902447,0.001801801801789793,0.002280314335266098,50622.97824256998,3753.2363088077814,0.00025503781385960883,0.0002550052972448864,6.504428649828848e-08,1,1,0.9866428055408961,3.6328571406836088,0.6864461817032433,1,1,1,1,0.9838886895676767,极高,1.0,0.8407575140723336,0.3061760840998686,15,10,0.24210526315789474,0.2578947368421053,Spring,1.1368421052631579
8,62_46,62,46,186,-122.41181440682611,37.78356409395859,0.0018018018018040038,0.001710235751446021,37967.233682148064,4898.96107673117,0.0006860939171141519,0.000685858662281058,4.7072486310104074e-07,1,1,0.9590218907785942,3.5311558594672197,0.6724453133658168,1,1,1,1,0.9824258034575358,极高,1.0,0.44078676013450935,0.5677852348993289,13,7,0.26881720430107525,0.27956989247311825,Winter,1.096774193548387
9,54_41,54,41,181,-122.42442701943872,37.774727875909434,0.001801801801789793,0.0022803143352589927,50622.97824241224,3575.4514310332916,9.403534211926677e-05,9.403092107363722e-05,8.842645567487547e-09,1,1,0.8574807168073922,3.1572773120708817,0.6192211162947299,1,1,1,1,0.9804090161885668,极高,1.0,0.6157343443099479,0.6937931034482758,10,11,0.24861878453038674,0.2430939226519337,Fall,1.12707182320442
10,56_48,56,48,180,-122.42082341583512,37.786129447585765,0.0018018018018040038,0.0022803143352589927,50622.978242811514,3555.6975556956704,0.000551182044140086,0.0005510301991108018,3.038016457824437e-07,1,1,0.8643723378856255,3.1826525286176848,0.6229244484001712,1,1,1,1,0.9799786941948796,极高,1.0,0.5720958926005121,0.39805825242718446,19,11,0.24444444444444444,0.3388888888888889,Fall,1.2
11,40_39,40,39,171,-122.44559819060987,37.772162522282265,0.0009009009009020019,0.001710235751446021,18983.616841074032,9007.767141086344,0.0001298749835985249,0.000129866550572994,1.6867511364717113e-08,1,1,0.31305547529022315,1.1526824220997656,0.27235684522036874,1,1,0,0,0.9756545515301511,极高,1.0,0.2727841136454582,0.8802919708029197,16,9,0.28654970760233917,0.2807017543859649,Summer,1.2163742690058479
12,59_48,59,48,171,-122.41721981223151,37.786129447585765,0.0018018018018040038,0.0022803143352589927,50622.978242811514,3377.912677910887,0.000689676642998537,0.0006894389253551795,4.7565387189773143e-07,1,1,0.914326941735912,3.366587320711004,0.6493660943973556,1,1,1,1,0.9756545515301511,极高,1.0,0.4493030525673728,0.5883211678832116,17,10,0.3508771929824561,0.2807017543859649,Winter,1.263157894736842
